word,phonetic,meaning,meaningEn,example,exampleTranslation,roots
didactic,/daɪˈdæktɪk/,adj. 说教的,intended to teach,Didactic methods bore students.,说教式方法让学生无聊。,didact(教导)+ic
erudite,/ˈeruːdaɪt/,adj. 博学的,having great knowledge,An erudite professor lectured.,博学教授讲课了。,e+rud(粗)+ite
pedantic,/pɪˈdæntɪk/,adj. 学究气的,excessively detailed,His pedantic style annoys others.,他学究气的风格让人烦。,
confer,/kənˈfɜː/,v. 授予,to grant,The university conferred an honorary degree.,大学授予荣誉学位。,con+fer(带来)
matriculate,/məˈtrɪkjuleɪt/,v. 录取,to enroll at university,She matriculated at Oxford.,她被牛津录取了。,matric(名册)+ulate
audit,/ˈɔːdɪt/,v. 旁听,to attend without credit,She audited a philosophy class.,她旁听了哲学课。,audit(听)
remedial,/rɪˈmiːdiəl/,adj. 补习的,corrective,Remedial classes help struggling students.,补习班帮助有困难的学生。,re+med(治愈)+ial
interdisciplinary,/ˌɪntəˈdɪsəplɪnəri/,adj. 跨学科的,across fields,Interdisciplinary research is valued.,跨学科研究受重视。,inter+disciplinary
extracurricular,/ˌekstrəkəˈrɪkjələ/,adj. 课外的,outside curriculum,Extracurricular activities matter.,课外活动很重要。,extra+curricular
vocational,/vəʊˈkeɪʃənl/,adj. 职业的,relating to career,Vocational training is practical.,职业培训很实用。,vocat(召唤)+ional
nurture,/ˈnɜːtʃə/,v. 培育,to care and develop,Nurture young talent.,培育年轻人才。,
foster,/ˈfɒstə/,v. 培养,to encourage growth,Foster creativity.,培养创造力。,
innovate,/ˈɪnəveɪt/,v. 创新,to introduce new ideas,Companies must innovate.,公司必须创新。,in+nov(新)+ate
simulate,/ˈsɪmjuleɪt/,v. 模拟,to imitate,Simulate real-world scenarios.,模拟现实场景。,simul(相似)+ate
disseminate,/dɪˈsemɪneɪt/,v. 传播,to spread widely,Disseminate research findings.,传播研究成果。,dis+semin(种子)+ate
elucidate,/ɪˈluːsɪdeɪt/,v. 阐明,to make clear,Elucidate the main points.,阐明要点。,e+lucid(清楚)+ate
espouse,/ɪˈspaʊz/,v. 拥护,to support a cause,She espouses environmental protection.,她拥护环境保护。,
incentivize,/ɪnˈsentɪvaɪz/,v. 激励,to motivate,Incentivize student learning.,激励学生学习。,
underpin,/ˌʌndəˈpɪn/,v. 支撑,to form basis,Evidence underpins the theory.,证据支撑理论。,
distill,/dɪˈstɪl/,v. 提炼,to extract essence,Distill key information.,提炼关键信息。,di+still(滴)
proliferate,/prəˈlɪfəreɪt/,v. 激增,to increase rapidly,Online courses have proliferated.,在线课程激增。,proli(后代)+fer(产生)+ate
inculcate,/ˈɪnkʌlkeɪt/,v. 灌输,to instill ideas,Inculcate good values.,灌输好价值观。,in+culc(踩)+ate
edify,/ˈedɪfaɪ/,v. 启迪,to instruct morally,Edifying literature enriches mind.,启迪性文学丰富心灵。,ed(建造)+ify
garner,/ˈɡɑːnə/,v. 获得,to gather,The study garnered attention.,研究获得了关注。,
promulgate,/ˈprɒmʌlɡeɪt/,v. 颁布,to announce officially,Promulgate new regulations.,颁布新规定。,pro+mulg(公众)+ate
iterate,/ˈɪtəreɪt/,v. 迭代,to repeat process,Iterate and improve.,迭代改进。,iter(重复)+ate
calibrate,/ˈkælɪbreɪt/,v. 校准,to adjust precisely,Calibrate the instruments.,校准仪器。,calibr(口径)+ate
